City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,Bilma,18.6853,12.9164,52.7,29,0,13.4,NE,2022-02-04 02:20:10
338,Talnakh,69.4865,88.3972,-13.54,98,79,7.2,RU,2022-02-04 02:19:58
339,Hofn,64.2539,-15.2082,29.48,57,100,22.37,IS,2022-02-04 02:20:10
340,Arlit,18.7369,7.3853,55.2,20,6,7.78,NE,2022-02-04 02:20:11
341,Gushikawa,26.3544,127.8686,61.83,95,20,11.5,JP,2022-02-04 02:20:11
342,Cascais,38.6979,-9.4215,54.52,75,100,1.01,PT,2022-02-04 02:20:12
343,Bani Walid,31.7566,13.9942,48.27,89,0,7.74,LY,2022-02-04 02:20:12
344,Stephenville,32.2207,-98.2023,18.68,86,100,0.0,US,2022-02-04 02:16:30
345,Bure,10.7,37.0667,61.47,53,100,7.0,ET,2022-02-04 02:20:13
346,Port Lincoln,-34.7333,135.8667,67.06,60,44,15.73,AU,2022-02-04 02:16:34
347,Trofors,65.5333,13.4063,29.55,94,100,7.18,NO,2022-02-04 02:20:13
348,Chumikan,54.7183,135.315,0.52,82,100,15.52,RU,2022-02-04 02:20:14
349,Dullewala,31.8359,71.4362,47.35,89,0,4.99,PK,2022-02-04 02:20:14
350,Vestmannaeyjar,63.4427,-20.2734,27.37,66,11,35.77,IS,2022-02-04 02:20:15
351,Vinukonda,16.05,79.75,69.62,86,15,4.45,IN,2022-02-04 02:20:15
352,Lukulu,-14.3707,23.242,65.41,97,100,6.8,ZM,2022-02-04 02:20:15
353,Beloha,-25.1667,45.05,71.2,93,6,10.11,MG,2022-02-04 02:20:16
354,Bozhou,33.8772,115.7703,40.64,47,0,5.53,CN,2022-02-04 02:20:16
355,Ilulissat,69.2167,-51.1,19.42,58,100,16.11,GL,2022-02-04 02:20:17
356,Kamenz,51.268,14.0937,44.1,87,100,8.95,DE,2022-02-04 02:20:18
357,Nemuro,43.3236,145.575,25.23,63,15,15.08,JP,2022-02-04 02:20:18
358,Caravelas,-17.7125,-39.2481,76.71,90,95,4.45,BR,2022-02-04 02:20:18
359,Hornepayne,49.2138,-84.7705,-17.36,97,8,2.37,CA,2022-02-04 02:20:19
360,Arawa,-6.2132,155.5367,77.4,93,100,2.46,PG,2022-02-04 02:20:19
361,Ekimchan,53.0667,132.9667,-6.97,87,100,2.21,RU,2022-02-04 02:20:20
362,Maceio,-9.6658,-35.7353,78.24,83,20,3.44,BR,2022-02-04 02:20:20
363,Olga,43.7444,135.2892,13.69,47,11,15.35,RU,2022-02-04 02:20:20
364,Cayenne,4.9333,-52.3333,78.1,88,20,4.0,GF,2022-02-04 02:20:21
365,Saquarema,-22.92,-42.5103,75.22,94,100,7.78,BR,2022-02-04 02:17:12
366,Longkou,37.6508,120.3286,30.81,51,38,14.45,CN,2022-02-04 02:20:21
367,Awbari,26.5921,12.7805,48.09,47,0,6.13,LY,2022-02-04 02:17:39
368,Namibe,-15.1961,12.1522,71.11,78,2,6.24,AO,2022-02-04 02:20:22
369,Buritama,-21.0661,-50.1472,72.18,90,100,3.98,BR,2022-02-04 02:21:22
370,Vallenar,-28.5708,-70.7581,66.9,58,0,3.62,CL,2022-02-04 02:19:53
371,Constitucion,-35.3333,-72.4167,58.17,94,37,4.68,CL,2022-02-04 02:21:23
372,Nyurba,63.2842,118.3319,-27.18,100,86,3.2,RU,2022-02-04 02:21:23
373,Vostok,46.4856,135.8833,0.07,85,98,4.09,RU,2022-02-04 02:19:59
374,Jizan,17.3333,42.6667,76.14,82,80,3.98,SA,2022-02-04 02:21:24
375,Shelkovskaya,43.5069,46.3392,31.87,91,100,6.53,RU,2022-02-04 02:21:24
376,Chapais,49.7834,-74.8492,-24.02,100,46,2.59,CA,2022-02-04 02:17:45
377,Correntina,-13.3433,-44.6367,71.87,80,27,1.54,BR,2022-02-04 02:21:25
378,Xining,36.6167,101.7667,14.43,51,100,1.59,CN,2022-02-04 02:21:25
379,Calbuco,-41.768,-73.1273,61.81,96,90,5.66,CL,2022-02-04 02:21:26
380,Labrea,-7.2586,-64.7981,72.75,99,90,1.99,BR,2022-02-04 02:21:26
381,Siatista,40.2619,21.5442,28.45,86,23,4.52,GR,2022-02-04 02:21:27
382,Nanakuli,21.3906,-158.1547,81.77,46,0,14.97,US,2022-02-04 02:21:27
383,Turkistan,43.0,68.0,32.88,72,3,12.03,KZ,2022-02-04 02:21:27
384,Ulladulla,-35.35,150.4667,71.1,73,79,13.18,AU,2022-02-04 02:21:28
385,San Patricio,28.017,-97.5169,35.83,75,100,18.37,US,2022-02-04 02:21:28
386,Erenhot,43.6475,111.9767,0.88,85,12,5.46,CN,2022-02-04 02:16:49
387,Kropotkin,45.4375,40.5756,37.11,98,100,6.46,RU,2022-02-04 02:21:29
388,Petatlan,17.5167,-101.2667,78.6,77,0,2.91,MX,2022-02-04 02:21:29
389,Le Moule,16.3332,-61.3473,73.18,100,0,9.57,GP,2022-02-04 02:21:30
390,Claresholm,50.0333,-113.5852,8.51,72,100,8.05,CA,2022-02-04 02:21:30
