,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Tukrah,LY,32.5341,20.5791,56.61,56,12,18.97,few clouds
179,Amasya,TR,40.6667,35.8333,40.95,90,100,5.08,overcast clouds
180,Fort Walton Beach,US,30.4058,-86.6188,70.74,92,100,5.99,thunderstorm with light rain
181,Kushiro,JP,42.975,144.3747,27.55,50,40,4.61,scattered clouds
182,Luderitz,NA,-26.6481,15.1594,75.45,56,8,6.89,clear sky
183,Codrington,AU,-38.2667,141.9667,63.97,71,47,17.16,scattered clouds
184,Iracoubo,GF,5.4802,-53.2011,75.87,90,70,11.5,broken clouds
185,Hobyo,SO,5.3505,48.5268,81.57,57,27,22.08,scattered clouds
186,Coihaique,CL,-45.5752,-72.0662,48.15,87,0,2.3,clear sky
187,Aklavik,CA,68.2191,-135.0107,-21.17,99,18,9.71,few clouds
188,Ouahigouya,BF,13.5828,-2.4216,68.43,14,34,14.63,scattered clouds
189,Lakatoro,VU,-16.0999,167.4164,77.81,91,100,10.65,moderate rain
190,Alice Springs,AU,-23.7,133.8833,80.15,26,68,14.97,broken clouds
191,Usinsk,RU,65.9939,57.5281,11.79,96,99,7.65,overcast clouds
192,Loding,NO,67.3,14.75,22.64,85,100,15.01,snow
193,Salalah,OM,17.0151,54.0924,84.29,42,0,9.22,clear sky
194,Faya,SA,18.3851,42.4509,69.91,35,4,8.41,clear sky
195,Antofagasta,CL,-23.65,-70.4,61.88,81,15,3.18,few clouds
196,Honiara,SB,-9.4333,159.95,77.77,88,100,4.94,overcast clouds
197,Iqaluit,CA,63.7506,-68.5145,-7.87,64,100,19.57,light snow
198,Saint-Joseph,RE,-21.3667,55.6167,80.96,87,100,25.55,light rain
199,Bushehr,IR,28.9684,50.8385,75.29,31,20,16.11,few clouds
200,Hasaki,JP,35.7333,140.8333,45.0,68,100,1.5,overcast clouds
201,Maues,BR,-3.3836,-57.7186,71.85,94,58,2.24,broken clouds
