City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
461,Ugoofaaru,MV,81.52,few clouds,5.6667,73.0,Ungoofaaru Inn
463,Chapada Dos Guimaraes,BR,69.46,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
464,Zhuhai,CN,66.97,clear sky,22.2769,113.5678,珠海粤财假日酒店
466,La Asuncion,VE,76.73,clear sky,11.0333,-63.8628,Colinas de Matasiete
467,Sechura,PE,69.76,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
469,Rio Grande,BR,71.94,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
470,Sao Miguel Do Araguaia,BR,70.68,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
476,Kalianget,ID,84.0,broken clouds,-7.05,113.9333,Pesanggrahan Garam
477,Sal Rei,CV,68.56,mist,16.1833,-22.9167,Marine Club Beach Resort
478,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
479,Guiratinga,BR,69.73,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
481,Arrecife,ES,69.78,clear sky,28.963,-13.5477,Hotel Lancelot
483,Marsh Harbour,BS,72.93,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
485,Encruzilhada,BR,65.17,broken clouds,-15.5314,-40.9094,Hotel e Restaurante Rio Pardo
490,Altamira,BR,70.99,moderate rain,-3.2033,-52.2064,Requinte Hotel
491,Labuhan,ID,84.69,broken clouds,-6.8844,112.2051,DoubleFAG
493,Bacolod,PH,76.33,overcast clouds,10.6667,122.95,Planta Hotel & Residences
495,Port Augusta,AU,84.7,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
496,Bowen,AU,79.88,light rain,-20.0167,148.2333,Castle Motor Lodge Motel
501,Ulladulla,AU,68.88,scattered clouds,-35.35,150.4667,Sandpiper Motel
502,Santiago,CL,66.85,clear sky,-33.4569,-70.6483,Hotel Panamericano
504,Sompeta,IN,79.84,broken clouds,18.9333,84.6,Netaji's Home
509,Chibombo,ZM,72.59,overcast clouds,-14.6569,28.0706,Chibombo District Council Guest House
511,Mabaruma,GY,72.05,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
513,Merauke,ID,82.72,overcast clouds,-8.4667,140.3333,
514,Santa Isabel Do Rio Negro,BR,72.5,overcast clouds,-0.4139,-65.0192,Hotel GSA
526,Hope Mills,US,68.38,overcast clouds,34.9704,-78.9453,"Holiday Inn Express & Suites Hope Mills-Fayetteville Arpt, an IHG Hotel"
529,Sinnamary,GF,75.88,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
532,Las Tunas,CU,71.73,broken clouds,20.9617,-76.9511,Hotel Cadillac
